timestamp_ms,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63
1765064678838,32.0,33.0,32.75,33.5,32.0,30.75,30.0,30.0,32.25,33.0,32.75,33.5,32.25,32.0,31.0,30.5,32.0,33.0,33.25,33.25,32.5,32.0,32.0,29.5,32.5,33.5,33.75,33.0,33.25,32.75,32.0,30.25,32.0,33.25,33.5,33.75,33.75,33.5,32.25,29.75,32.0,32.75,33.25,33.75,33.75,33.5,32.25,29.0,32.25,32.25,32.25,32.5,33.5,33.0,30.5,28.5,32.25,32.0,32.0,32.5,32.25,32.0,29.75,28.0
1765064678994,32.0,32.5,32.75,32.5,31.75,30.5,29.75,29.5,32.25,32.5,32.75,33.0,32.0,32.0,30.5,30.25,32.75,33.25,33.5,32.75,32.5,33.0,31.75,29.25,33.0,33.75,33.75,33.25,33.25,33.0,32.0,30.0,32.75,33.5,33.5,33.75,34.0,33.0,32.0,29.25,32.25,32.5,33.5,34.0,34.0,32.75,31.0,29.0,32.25,31.75,32.0,32.25,33.5,31.75,29.75,28.25,31.5,32.0,32.25,32.25,32.5,31.25,29.25,28.0
1765064679150,31.0,32.5,32.5,31.5,30.5,29.5,29.5,29.0,32.25,32.5,32.5,32.5,32.0,30.25,30.0,29.5,32.5,33.0,33.25,32.5,32.25,32.25,29.5,29.0,32.25,33.25,33.5,33.0,32.75,31.5,29.5,29.5,32.0,32.75,33.0,34.25,33.75,32.25,30.0,28.75,31.75,32.25,32.75,33.75,34.0,31.25,29.5,29.0,31.5,31.0,31.75,32.0,32.0,30.5,28.75,27.75,30.0,31.5,31.5,31.0,31.25,29.75,29.0,28.25
1765064679306,30.0,31.0,31.0,29.5,29.5,30.0,29.0,29.75,30.0,32.0,33.0,31.25,30.25,29.5,30.0,30.25,31.25,32.5,32.75,31.75,32.25,30.0,29.25,29.0,31.75,32.25,33.0,32.75,32.25,30.25,29.0,28.75,31.5,31.75,32.75,34.0,33.0,30.75,29.0,29.0,31.75,32.0,32.5,33.0,33.25,29.25,29.25,28.75,29.0,30.0,31.75,30.75,31.0,29.25,28.75,28.25,29.5,30.0,31.75,31.5,30.25,29.25,28.75,27.25
1765064679462,29.0,29.25,28.75,29.0,29.25,29.5,29.0,29.0,28.25,28.5,29.0,29.25,29.5,29.25,29.5,29.5,28.75,29.0,31.25,30.0,29.25,28.75,29.0,29.0,28.5,30.75,32.25,32.0,30.75,29.25,28.75,29.0,28.75,30.5,32.25,33.5,32.25,29.25,29.0,28.75,29.0,31.0,32.0,32.5,31.75,29.75,29.25,28.5,28.5,29.5,31.5,31.25,31.0,29.25,29.0,27.5,29.0,29.75,31.0,32.5,30.25,29.25,28.75,27.5
1765064679619,28.75,28.5,29.25,28.75,29.25,29.5,29.25,29.0,28.5,28.25,28.75,29.0,29.5,29.5,30.0,30.0,28.75,28.75,29.75,29.25,29.0,29.0,28.75,28.5,29.0,29.25,32.0,31.5,29.75,28.75,29.0,29.25,28.75,29.75,32.0,33.25,31.5,29.25,29.0,29.0,29.0,29.5,32.0,32.25,31.5,29.0,29.5,28.5,29.5,29.5,31.0,31.25,30.0,29.5,29.0,27.5,29.0,29.5,30.0,32.25,30.0,29.0,28.5,27.0
1765064679774,28.25,28.75,28.5,28.75,28.75,29.25,29.0,28.5,28.25,28.5,28.75,28.75,29.0,29.0,29.75,30.0,28.25,28.5,29.0,28.75,28.75,28.75,29.0,28.5,28.25,28.75,29.5,29.25,29.0,28.75,28.25,28.75,28.0,28.25,31.0,32.0,30.0,28.75,28.5,28.25,28.5,28.75,31.75,32.25,31.0,28.75,29.0,28.5,29.0,29.0,30.25,31.0,30.0,29.25,29.25,27.75,29.25,29.75,30.0,32.25,30.0,29.25,28.5,27.5
1765064679933,28.5,28.75,29.0,29.0,28.75,29.0,29.25,29.25,28.25,28.25,29.0,28.75,29.0,29.25,29.75,29.0,28.75,28.75,28.5,28.75,28.75,28.75,28.5,28.5,28.25,28.25,28.75,29.0,29.0,29.0,28.25,28.75,28.25,28.0,30.0,31.75,29.5,29.0,28.75,28.5,28.0,28.5,31.25,32.25,30.5,29.0,29.25,28.5,28.75,28.75,29.75,31.5,30.0,29.0,29.0,27.75,28.5,29.5,29.75,32.0,29.75,29.25,28.5,27.75
1765064680089,28.75,28.5,28.5,28.75,28.75,29.0,28.75,28.5,28.0,28.5,28.75,28.75,29.0,29.25,29.25,29.5,28.25,29.0,28.25,29.0,28.75,28.75,28.75,28.5,28.0,28.25,28.5,28.75,28.5,28.75,28.5,28.75,28.0,28.25,28.75,30.0,29.5,29.25,29.0,28.5,28.25,28.5,30.25,32.0,30.0,29.5,29.25,28.0,28.0,28.5,29.75,31.25,29.5,29.0,29.0,27.75,29.0,29.5,29.75,32.0,29.75,29.25,28.75,27.25
1765064680245,28.5,28.5,28.75,28.75,28.75,29.0,29.0,29.0,28.5,28.25,28.75,28.25,29.0,29.25,29.75,29.25,28.0,28.5,28.5,28.5,28.75,28.25,28.5,28.25,28.0,28.0,28.25,28.5,28.5,28.25,28.0,29.0,28.25,28.0,28.75,29.25,29.0,28.5,28.5,28.75,28.0,28.75,29.5,31.5,29.25,28.5,29.0,27.75,28.25,28.5,30.0,31.5,29.0,29.0,29.0,28.0,28.25,29.25,29.5,31.5,29.25,28.75,28.25,27.25
